region,date,value
KARAGANDA REGION,2009-12-31,1123500
KARAGANDA REGION,2008-12-31,1088400
KARAGANDA REGION,2007-12-31,853500
KARAGANDA REGION,2010-12-31,1387700
KARAGANDA REGION,2016-12-31,2682600
KARAGANDA REGION,2017-12-31,3100900
KARAGANDA REGION,2018-12-31,3431900
KARAGANDA REGION,2019-12-31,3911000
KARAGANDA REGION,2021-12-31,5419300
KARAGANDA REGION,2020-12-31,4431700
EAST KAZAKHSTAN REGION,2013-12-31,1480100
EAST KAZAKHSTAN REGION,2004-12-31,270600
EAST KAZAKHSTAN REGION,2006-12-31,430800
EAST KAZAKHSTAN REGION,2001-12-31,188200
EAST KAZAKHSTAN REGION,2002-12-31,199000
EAST KAZAKHSTAN REGION,2003-12-31,228900
EAST KAZAKHSTAN REGION,2015-12-31,1656200
EAST KAZAKHSTAN REGION,2005-12-31,325400
EAST KAZAKHSTAN REGION,2011-12-31,1160900
EAST KAZAKHSTAN REGION,2000-12-31,158400
EAST KAZAKHSTAN REGION,2014-12-31,1636700
EAST KAZAKHSTAN REGION,2012-12-31,1299100
EAST KAZAKHSTAN REGION,2009-12-31,693600
EAST KAZAKHSTAN REGION,2008-12-31,627900
EAST KAZAKHSTAN REGION,2007-12-31,563400
EAST KAZAKHSTAN REGION,2010-12-31,889800
EAST KAZAKHSTAN REGION,2016-12-31,2006000
EAST KAZAKHSTAN REGION,2017-12-31,2289500
EAST KAZAKHSTAN REGION,2018-12-31,2598800
EAST KAZAKHSTAN REGION,2019-12-31,2929200
EAST KAZAKHSTAN REGION,2021-12-31,3723000
EAST KAZAKHSTAN REGION,2020-12-31,3369800
ZHAMBYL REGION,2015-12-31,918300
ZHAMBYL REGION,2013-12-31,813900
ZHAMBYL REGION,2004-12-31,138800
ZHAMBYL REGION,2011-12-31,602800
ZHAMBYL REGION,2000-12-31,58700
ZHAMBYL REGION,2003-12-31,121600
ZHAMBYL REGION,2001-12-31,71200
ZHAMBYL REGION,2005-12-31,169100
ZHAMBYL REGION,2002-12-31,84700
ZHAMBYL REGION,2006-12-31,191200
ZHAMBYL REGION,2014-12-31,897400
ZHAMBYL REGION,2012-12-31,715400
ZHAMBYL REGION,2009-12-31,336300
ZHAMBYL REGION,2008-12-31,316900
ZHAMBYL REGION,2007-12-31,262800
ZHAMBYL REGION,2010-12-31,429000
ZHAMBYL REGION,2016-12-31,1062700
ZHAMBYL REGION,2017-12-31,1210000
ZHAMBYL REGION,2018-12-31,1366400
ZHAMBYL REGION,2019-12-31,1518800
ZHAMBYL REGION,2021-12-31,1976900
ZHAMBYL REGION,2020-12-31,1675800
MANGYSTAU REGION,2006-12-31,1552900
MANGYSTAU REGION,2002-12-31,599300
MANGYSTAU REGION,2003-12-31,633400
MANGYSTAU REGION,2005-12-31,1174200
MANGYSTAU REGION,2011-12-31,3491700
MANGYSTAU REGION,2001-12-31,455000
MANGYSTAU REGION,2013-12-31,3592700
MANGYSTAU REGION,2004-12-31,831600
MANGYSTAU REGION,2000-12-31,407900
MANGYSTAU REGION,2015-12-31,3443000
MANGYSTAU REGION,2014-12-31,4049600
MANGYSTAU REGION,2012-12-31,3169800
MANGYSTAU REGION,2009-12-31,2542500
MANGYSTAU REGION,2008-12-31,2631000
MANGYSTAU REGION,2007-12-31,1896200
MANGYSTAU REGION,2010-12-31,2890400
MANGYSTAU REGION,2016-12-31,3880600
MANGYSTAU REGION,2017-12-31,5058800
MANGYSTAU REGION,2018-12-31,5682400
MANGYSTAU REGION,2019-12-31,5352800
MANGYSTAU REGION,2021-12-31,4966500
MANGYSTAU REGION,2020-12-31,4335100
ATYRAU REGION,2003-12-31,1065000
ATYRAU REGION,2015-12-31,7171200
ATYRAU REGION,2002-12-31,866000
ATYRAU REGION,2011-12-31,7054000
ATYRAU REGION,2001-12-31,658400
ATYRAU REGION,2004-12-31,1389500
ATYRAU REGION,2006-12-31,2296200
ATYRAU REGION,2013-12-31,7083000
ATYRAU REGION,2005-12-31,1727300
ATYRAU REGION,2000-12-31,554500
ATYRAU REGION,2014-12-31,7553300
ATYRAU REGION,2012-12-31,6580700
ATYRAU REGION,2009-12-31,3881600
ATYRAU REGION,2008-12-31,3626000
ATYRAU REGION,2007-12-31,2541700
ATYRAU REGION,2010-12-31,5401000
ATYRAU REGION,2016-12-31,8653100
ATYRAU REGION,2017-12-31,9685100
ATYRAU REGION,2018-12-31,12465400
ATYRAU REGION,2019-12-31,14584400
ATYRAU REGION,2021-12-31,16037400
ATYRAU REGION,2020-12-31,11883200
ASTANA,2006-12-31,1701800
ASTANA,2002-12-31,463800
ASTANA,2003-12-31,596800
ASTANA,2005-12-31,1318000
ASTANA,2011-12-31,2980300
ASTANA,2001-12-31,438100
ASTANA,2013-12-31,4374300
ASTANA,2004-12-31,901700
ASTANA,2000-12-31,328600
ASTANA,2015-12-31,5574800
ASTANA,2014-12-31,4821600
ASTANA,2012-12-31,3479600
ASTANA,2009-12-31,2075200
ASTANA,2008-12-31,2080200
ASTANA,2007-12-31,1927000
ASTANA,2010-12-31,2635700
ASTANA,2016-12-31,5273300
ASTANA,2017-12-31,5766200
ASTANA,2018-12-31,6359600
ASTANA,2019-12-31,7075800
ASTANA,2021-12-31,7361900
ASTANA,2020-12-31,6873600
ALMATY,2013-12-31,4779100
ALMATY,2004-12-31,924400
ALMATY,2006-12-31,1792900
ALMATY,2001-12-31,504900
ALMATY,2002-12-31,603300
ALMATY,2003-12-31,695800
ALMATY,2015-12-31,5439600
ALMATY,2005-12-31,1218600
ALMATY,2011-12-31,3394800
ALMATY,2000-12-31,367500
ALMATY,2014-12-31,5021000
ALMATY,2012-12-31,3908000
ALMATY,2009-12-31,2293100
ALMATY,2008-12-31,2193200
ALMATY,2007-12-31,2048900
ALMATY,2010-12-31,2797300
ALMATY,2016-12-31,6138500
ALMATY,2017-12-31,6694200
ALMATY,2018-12-31,6636100
ALMATY,2019-12-31,7183900
ALMATY,2021-12-31,7495800
ALMATY,2020-12-31,6913000
THE REPUBLIC OF KAZAKHSTAN,2003-12-31,309300
THE REPUBLIC OF KAZAKHSTAN,2015-12-31,2330400
THE REPUBLIC OF KAZAKHSTAN,2000-12-31,174700
THE REPUBLIC OF KAZAKHSTAN,2011-12-31,1705900
THE REPUBLIC OF KAZAKHSTAN,2005-12-31,501100
THE REPUBLIC OF KAZAKHSTAN,2006-12-31,667200
THE REPUBLIC OF KAZAKHSTAN,2013-12-31,2113200
THE REPUBLIC OF KAZAKHSTAN,2001-12-31,218800
THE REPUBLIC OF KAZAKHSTAN,2002-12-31,254100
THE REPUBLIC OF KAZAKHSTAN,2004-12-31,391000
THE REPUBLIC OF KAZAKHSTAN,2014-12-31,2294800
THE REPUBLIC OF KAZAKHSTAN,2012-12-31,1847084
THE REPUBLIC OF KAZAKHSTAN,2009-12-31,1056900
THE REPUBLIC OF KAZAKHSTAN,2008-12-31,1024200
THE REPUBLIC OF KAZAKHSTAN,2007-12-31,829900
THE REPUBLIC OF KAZAKHSTAN,2010-12-31,1336600
THE REPUBLIC OF KAZAKHSTAN,2016-12-31,2639700
THE REPUBLIC OF KAZAKHSTAN,2017-12-31,3014700
THE REPUBLIC OF KAZAKHSTAN,2018-12-31,3382500
THE REPUBLIC OF KAZAKHSTAN,2019-12-31,3755700
THE REPUBLIC OF KAZAKHSTAN,2021-12-31,4417900
THE REPUBLIC OF KAZAKHSTAN,2020-12-31,3766800
